date,flu,cough,fever,headache,lagnat,rashes,sipon,ubo,ecq,face-shield,Frontliners,masks,Quarantine,social-distancing,work-from-home
2020-05-18,82.99165138937344,79.1263424499088,73.32316323905,96.39136135644792,0.0270871713255456,50.24212052596893,1.11154727419552,138.30137763738557,13.144841786873297,11729.365641429546,36.70054117142557,102.49168586670352,15.513117643651352,81.96281025201928,93.80957118117468
2020-05-19,72.64897938849496,60.04386257038509,79.99789883080713,52.68984913295973,0.0278157497838686,64.75538230798722,6239.222831805658,111.2933872600423,10.087140906451184,10320.637415971338,40.235132829152725,88.8834304556963,12.50340385527472,64.75045733136619,88.74679927984903
2020-05-20,62.279002803557006,54.013511434530784,91.82787411717956,82.40058326128897,0.5394925556662784,58.6685918208463,1.0781672695447426,0.0138054864958175,8.585780480949829,47.83117858314096,42.03091884213198,75.4762265208388,13.592400124284143,80.96626423757452,80.50684790059766
2020-05-21,56.249339119450354,79.07035894870681,83.89278900072051,65.72751375466639,3774.303326103861,72.47136950551632,5417.351719690156,2.1974134006791566,12.259392142749553,59.99675431209971,45.94679191232135,93.7617346136675,17.292306379712212,53.18843238536196,69.47667401244964
2020-05-22,57.42389891857968,88.25183805834894,92.36958676290404,79.87436277100109,0.0269915312331804,77.79921786089231,1.0467532682479972,0.0134989619392046,8.918953854813768,51.9537585925619,30.941253373826665,65.2610668378608,13.180335833481012,51.13920638417698,92.76714112373872
2020-05-23,60.37693884183026,93.38499119472674,104.14503641008125,77.6145667138116,0.5163635784264949,46.42436006223439,2.6266533608298004,1.2435791743253994,7.258580727800391,39.96447049456868,32.99128420373167,74.35211424281444,12.486061350158955,56.994157189497336,76.78317317433117
2020-05-24,49.73844342590165,78.32668029103912,93.82946715581012,72.32079992761388,242.0930078732348,60.35737918886748,0.0084550230333561,0.0191184728883619,6.423455678855888,37.73764709190903,34.85308861099654,86.4687352871636,12.660807913868425,35.04579807501643,55.85194196569988
2020-05-25,58.34092485244063,74.42635749942474,74.51798016754786,88.39591769368936,0.0275528475353435,56.68703181887646,1.002980364352822,6890.751709511864,9.249809534622589,44.7238546014135,33.562832891210455,94.19104774308629,14.655457785661486,39.9261009057103,79.21851130340762
2020-05-26,41.01186626587379,78.57823019021367,75.76999624127373,96.78572914974164,0.0272854167080432,54.92970513398669,22401.101507157065,0.0189363537600332,10.260603397765571,42.03985543193097,38.42358848427589,91.73190794124032,16.70958976130614,58.6919893708883,83.74784433136085
2020-05-27,48.75793134783285,57.02551269035358,71.22811105785897,88.40761022518292,0.0270024501623487,52.176806565057966,3.111879266124071,0.0188857462090529,8.464958450331824,46.34688698074513,31.94697774088833,74.50378894226098,15.930052901202052,59.17732378349561,90.41504762029882
2020-05-28,69.68343887930584,92.21720056026057,68.79874542532019,78.05435650365774,0.0267476432700081,30.592944459218675,1.6216760284730003,1.6084320976140651,9.48146921275146,38.63597703172064,36.81191232152918,67.23527871809836,27.45604295030958,66.42545073256858,90.26496342324296
2020-05-29,60.601562078610456,61.35468517288879,62.62930953223248,88.16781660277111,204.6183963109028,47.49020107836171,19007.7064452472,0.0185307369048022,8.603245193088627,56.04205797986252,20.331776162840733,57.54461572756143,21.98491721881956,41.61195301960296,71.87467209659381
2020-05-30,71.55657795399794,55.05340045085456,57.72483791831066,85.8470551645916,0.0264048799239583,34.716343376589364,2.815819376501888,0.0184889512734198,5.782547135812344,51.081201358274015,27.121671711951137,47.37893064040269,13.500006797901309,43.94299651778321,77.77830480146493
2020-05-31,62.5042233598147,58.97939464080688,77.52975527704787,98.82250522085798,0.0262410136214841,65.62023832700123,1.558493056227658,2.0277634504763125,5.828885066566105,66.17678477095004,50.473729426253975,58.93271777666876,14.58414973426324,58.737157044627736,76.20006339149253
2020-06-01,66.82288982988358,74.09119054351488,69.50323669694698,91.65407408195946,0.0286908777532793,56.81591435468473,5401.763292266729,9315.992616553149,6.853944374194031,68.46968635666941,30.977472462368382,54.984887080224986,14.69644691732029,83.42076668646266,96.71756543646065
